шенандоа,река,соединённые штаты америки,front royal, virginia,luray, virginia,harpers ferry, west virginia	Shenandoah_River
сана,река,,	Sana_(river)
тарпенбек,,	Tarpenbek
мойи,река,,	Moyie_River
кейни-форк,соединённые штаты америки,	Caney_Fork_River
енисей,монголия,абакан,дивногорск,дудинка,игарка,кызыл,лесосибирск,саяногорск,шагонар,енисейск,красноярск	Yenisei_River
рио-кончос,,	Rio_Conchos
усвяча,,	Usvyacha_River
буттербах,,	Butterbach
бурея,река,россия,	Bureya_River
колыма,,	Kolyma_River
мечи,индия,	Mechi_River
отта,река,,	Otta_(river)
вычегда,,	Vychegda_River
обербек,,	Oberbek
вепш,польша,	Wieprz
серкьо,,	Serchio
каму,доминиканская республика,консепсион-де-ла-вега	Camú_River
саут-форк-флатхед,,	South_Fork_Flathead_River
вилюй,,	Vilyuy_River
ковик,река,канада,	Kovik_River
рамме,,	Ramme
вайсе-эльстер,,	White_Elster
лорел-форк,,	Laurel_Fork_(Cheat_River)
аброкксбах,,	Abrocksbach
паханг,река,,	Pahang_River
лхаса,река,,	Lhasa_River
куру,река,впадает в атлантический океан,,	Kourou_(river)
инд,китайская народная республика,хайдарабад (город, пакистан),лех (индия)	Indus_River
уилинг-крик,соединённые штаты америки,	Wheeling_Creek_(West_Virginia)
малад,река,соединённые штаты америки,	Malad_River
эльки,река,,	Elqui_River
кагера,бурунди,	Kagera_River
шаларон,,	Chalaronne
стир-крик,соединённые штаты америки,	Steer_Creek_(West_Virginia)
шур,река,типперэри (графство),	River_Suir
андроскоггин,река,,оберн (мэн),берлин (нью-гэмпшир),льюистон (мэн)	Androscoggin_River
егошиха,река,,	Yegoshikha_River
эккбах,,	Eckbach
кагаян,река,филиппины,	Cagayan_River
уаза,река,,	Oise_(river)
глатт,,	Glatt_(Neckar)
ингулец,река,,	Inhulets_River
лёрмекке,,	Lörmecke
большой мендерес,турция,айдын,назилли,сёке	Büyük_Menderes_River
пива,черногория,	Piva_(river)
талкитна,река,,	Talkeetna_River
гартамп,река,,	Gartempe
рубикон,,	Rubicon
туманная,китайская народная республика,	Tumen_River
танагро,,	Tanagro
солис-гранде,,	Solís_Grande_Creek
чаттахучи,река,chattahoochee-oconee national forest,	Chattahoochee_River
риббл,река,,	River_Ribble
азе,,	Ahse
зольмсбах,,	Solmsbach
бесос,,	Besòs_(river)
хенти,река,,	Henty_River
